cohort,label,cardName,offeredGames,keptGames,notKeptGames,keepRate,avgEloGainOffered,avgEloGainKept,avgEloGainNotKept,stddevEloGainOffered,stddevEloGainKept,stddevEloGainNotKept,avgEloDeltaOffered,avgEloDeltaKept,avgEloDeltaNotKept
tfmstats_reference,TFMStats reference,Earth Catapult,17417,17237,180,98.96652695642189,2.308836194522593,2.329407669548065,0.3388888888888889,8.186979233402932,8.19809998156559,6.775872319185876,2.158639613348887,2.1792110883743594,0.1886923077151829
tfmstats_reference,TFMStats reference,Earth Office,17327,16630,697,95.97737634905062,0.7787268425001442,0.8532772098616958,-1.0,8.1870577158889,8.234542194437237,6.722538860849537,0.6285302613264382,0.7030806286879897,-1.150196581173706
tfmstats_reference,TFMStats reference,Ecological Zone,17503,14768,2735,84.37410729589213,0.051248357424441525,0.18079631635969665,-0.6482632541133455,8.06072339788078,8.22318228424306,7.080259637638852,-0.09894822374926449,0.03059973518599063,-0.7984598352870516
tfmstats_reference,TFMStats reference,Electro Catapult,17392,16119,1273,92.68054277828887,0.9287028518859246,0.9983869967119549,0.046347211311861744,8.012976048234487,8.039454599395011,7.61785109323624,0.7785062707122186,0.8481904155382488,-0.10384936986184427
tfmstats_reference,TFMStats reference,Energy Saving,17457,1019,16438,5.837199977086556,-0.1566706765194478,-1.1501472031403337,-0.09508456016547025,8.074315776446632,6.186050239191968,8.173204046962683,-0.3068672576931538,-1.3003437843140397,-0.24528114133917628
tfmstats_reference,TFMStats reference,Energy Tapping,17444,13080,4364,74.98280210960789,0.38316899793625314,0.622782874617737,-0.33501374885426216,8.048115704586744,8.281835062976665,7.256573046006764,0.23297241676254712,0.4725862934440309,-0.4852103300279682
tfmstats_reference,TFMStats reference,Eos Chasma National Park,17528,4606,12922,26.277955271565496,-0.016716111364673665,-0.4194528875379939,0.12683795078161275,8.005183542692683,7.971660131978644,8.012513975193285,-0.16691269253837968,-0.5696494687117,-0.023358630392093266
tfmstats_reference,TFMStats reference,Equatorial Magnetizer,17332,671,16661,3.8714516501269327,-0.23949919224555735,-1.3576751117734724,-0.1944661184802833,7.968660988600455,7.011095468003149,8.001740243555622,-0.38969577341926337,-1.5078716929471785,-0.3446626996539893
tfmstats_reference,TFMStats reference,Extreme-Cold Fungus,17383,5360,12023,30.834723580509692,-0.06471840303745038,-0.47388059701492535,0.11769109207352574,8.033463952670147,7.504210962949235,8.252253600965785,-0.2149149842111564,-0.6240771781886314,-0.03250548910018028
tfmstats_reference,TFMStats reference,Farming,17376,5776,11600,33.241252302025785,-0.10946132596685083,-0.15200831024930747,-0.08827586206896551,8.008045610942528,8.05808498517664,7.983276368170354,-0.25965790714055687,-0.3022048914230135,-0.23847244324267153
tfmstats_reference,TFMStats reference,Fish,17401,8787,8614,50.49709786793863,-0.0945922648123671,-0.11812905428473881,-0.07058277223125145,8.010547289739712,8.021974870013052,7.99926768442653,-0.24478884598607312,-0.26832563545844484,-0.22077935340495747
tfmstats_reference,TFMStats reference,Flooding,17551,12428,5123,70.81078001253489,0.18808045125633868,0.32410685548760865,-0.14190903767323834,8.207286549350938,8.515860254961842,7.3958713448750375,0.037883870082632665,0.17391027431390263,-0.29210561884694436
tfmstats_reference,TFMStats reference,Food Factory,17345,2290,15055,13.202652061112712,-0.149264917843759,-0.8008733624454148,-0.05014945200929924,7.968517074331507,6.869475166108927,8.118292827634109,-0.299461499017465,-0.9510699436191209,-0.20034603318300526
tfmstats_reference,TFMStats reference,Fuel Factory,17480,14601,2879,83.52974828375287,0.4090961098398169,0.44894185329771935,0.20701632511288642,8.040779246057811,8.021359269533674,8.136957833872122,0.2588995286661109,0.29874527212401336,0.056819743939180406
tfmstats_reference,TFMStats reference,Fueled Generators,17434,10320,7114,59.19467706779855,-0.07542732591487897,-0.06579457364341085,-0.08940118077031206,8.08679829142726,8.286353947242192,7.788782960391262,-0.22562390708858499,-0.21599115481711686,-0.23959776194401808
tfmstats_reference,TFMStats reference,Fusion Power,17323,7471,9852,43.12763378167754,-0.06130577844484212,-0.3216436889305314,0.13611449451887941,8.050874825488233,7.781797404549185,8.243985699863654,-0.21150235961854813,-0.47184027010423746,-0.014082086654826603
tfmstats_reference,TFMStats reference,GHG Factories,17684,10332,7352,58.42569554399457,-0.07577471160370956,-0.2353852109949671,0.1485310119695321,8.069211096835822,8.184646421826686,7.899241383712874,-0.22597129277741557,-0.3855817921686731,-0.0016655692041739056
tfmstats_reference,TFMStats reference,GHG Producing Bacteria,17427,4784,12643,27.451655477133183,-0.06243185861020256,-0.10158862876254181,-0.04761528118326347,8.097350673060907,8.130426304276975,8.085072776640272,-0.21262843978390858,-0.2517852099362478,-0.1978118623569695
tfmstats_reference,TFMStats reference,Ganymede Colony,17509,11843,5666,67.63949968587583,0.02969901193671826,-0.10909397956598835,0.3198023296858454,8.109403561315473,8.006768852438272,8.313076484172695,-0.12049756923698776,-0.25929056073969436,0.16960574851213936
tfmstats_reference,TFMStats reference,Gene Repair,17237,10448,6789,60.61379590415966,0.024772292162209202,-0.019429555895865237,0.09279717189571365,8.139137368494803,8.038251233609557,8.292135287633617,-0.12542428901149683,-0.16962613706957125,-0.057399409277992364
tfmstats_reference,TFMStats reference,Geothermal Power,17550,13977,3573,79.64102564102564,0.21430199430199431,0.18530442870429992,0.32773579624965016,8.138233220132213,8.136298060617024,8.145946535297952,0.0641054131282883,0.0351078475305939,0.17753921507594414
