map,card,map_elo_delta,other_maps_elo_delta,difference,approx_standard_error,approx_z_score,map_offers,other_maps_offers
Tharsis,Local Heat Trapping,-0.14685885900117654,-0.42524180062948186,0.27838294162830535,0.18082804563357155,1.539489854313961,4505,4311
Tharsis,Lunar Beam,-0.179856434333431,-0.4144591255773982,0.23460269124396724,0.184284139720642,1.2730487365847305,4501,4280
Tharsis,Magnetic Field Dome,-0.4124295787264473,-0.2704034956412008,-0.1420260830852465,0.18438920934249148,-0.7702515976487642,4504,4286
Tharsis,Magnetic Field Generators,-0.17361624584460297,-0.4673262916182588,0.2937100457736558,0.17848226347443857,1.645597943773946,4616,4413
Tharsis,Mangrove,-0.236821797879662,-0.2967614749439895,0.05993967706432751,0.1819052045851389,0.3295105118131645,4540,4377
Tharsis,Mars University,1.0254286351654194,0.6899203595464031,0.3355082756190163,0.18041001744976698,1.8596987038839714,4621,4523
Tharsis,Martian Rails,-0.3400641936299687,-0.4306362610848323,0.09057206745486357,0.1839374965887187,0.4924067638986153,4615,4258
Tharsis,Martian Survey,-0.20028592299252132,-0.1610058705341859,-0.03928005245833541,0.18458478825093166,-0.21280221859309767,4523,4385
Tharsis,Mass Converter,0.737796813209084,0.7399153244951328,-0.0021185112860487854,0.1829305586119166,-0.011580958928481508,4596,4323
Tharsis,Media Archives,-0.19734740497930667,-0.19997260304855657,0.0026251980692499066,0.18093106247301316,0.01450938292943186,4613,4317
Tharsis,Media Group,1.0311660978028458,1.3424390434807263,-0.31127294567788044,0.18217624180497333,-1.7086363325636615,4526,4304
Tharsis,Medical Lab,0.06112912658878198,-0.05707074988296129,0.11819987647174326,0.18302533503550403,0.6458115563553776,4531,4315
Tharsis,Methane From Titan,0.05778502028913663,0.028878539955059537,0.028906480334077094,0.18294076544583043,0.15801005458587322,4614,4293
Tharsis,Micro-Mills,-0.46939398494081663,-0.2179960308814733,-0.25139795405934334,0.17935756052021817,-1.4016579693109974,4580,4371
Tharsis,Mine,0.699340566208001,0.513402997368505,0.18593756883949597,0.18343824471201992,1.0136248803045393,4618,4394
